1.5366100e+00,32
1.5460619e+00,0
1.5555136e+00,32
1.5649654e+00,0
1.5744171e+00,0
1.5838690e+00,0
1.5933207e+00,0
1.6027725e+00,0
1.6122243e+00,0
1.6216761e+00,0
1.6311278e+00,0
1.6405797e+00,0
1.6500314e+00,64
1.6594832e+00,32
1.6689351e+00,0
1.6783868e+00,0
1.6878386e+00,32
1.6972903e+00,0
1.7067422e+00,96
1.7161939e+00,0
1.7256457e+00,0
1.7350974e+00,160
1.7445493e+00,32
1.7540010e+00,0
1.7634528e+00,0
1.7729046e+00,0
1.7823564e+00,32
1.7918081e+00,0
1.8012600e+00,64
1.8107117e+00,352
1.8201635e+00,0
1.8296154e+00,96
1.8390671e+00,352
1.8485188e+00,192
1.8579707e+00,416
1.8674225e+00,640
1.8768742e+00,576
1.8863260e+00,1024
1.8957777e+00,2400
1.9052296e+00,3104
1.9146813e+00,4032
1.9241331e+00,7104
1.9335849e+00,7712
1.9430367e+00,11328
1.9524884e+00,19200
1.9619403e+00,27904
1.9713920e+00,34080
1.9808438e+00,46368
1.9902956e+00,53824
1.9997474e+00,58688
2.0091991e+00,58496
2.0186510e+00,64352
2.0281026e+00,63904
2.0375545e+00,58976
2.0470064e+00,59680
2.0564580e+00,54080
2.0659099e+00,49312
2.0753617e+00,45248
2.0848134e+00,37824
2.0942652e+00,37344
2.1037169e+00,32832
2.1131687e+00,23648
2.1226206e+00,22592
2.1320724e+00,19968
2.1415241e+00,17728
2.1509759e+00,14336
2.1604276e+00,12768
2.1698794e+00,11648
2.1793313e+00,11040
2.1887832e+00,12448
2.1982348e+00,11232
2.2076867e+00,8672
2.2171383e+00,10368
2.2265902e+00,7552
2.2360420e+00,5376
2.2454937e+00,6688
2.2549455e+00,2400
2.2643971e+00,1312
2.2738490e+00,1792
2.2833009e+00,544
2.2927527e+00,928
2.3022044e+00,608
2.3116562e+00,608
2.3211079e+00,576
2.3305597e+00,192
2.3400116e+00,704
2.3494635e+00,64
2.3589151e+00,0
2.3683670e+00,224
2.3778186e+00,448
2.3872705e+00,32
2.3967223e+00,0
2.4061739e+00,0
2.4156258e+00,0
2.4250774e+00,0
2.4345293e+00,0
2.4439812e+00,0
2.4534330e+00,0
2.4628847e+00,0
2.4723365e+00,64
